hhId;hhName;iaId
fullDay;Полный день;FULL
shift;Сменный график;SHIFT
flexible;Гибкий график;FLEX
remote;Удаленная работа;REMOTE
flyInFlyOut;Вахтовый метод;FLYIFLYO
