hhId;hhName;iaId
basic;базовые знания;BASIC
can_read;читаю профессиональную литературу;CAN_READ
can_pass_interview;могу проходить интервью;CAN_PASS
fluent;свободно владею;FLUENT
native;"родной";NATIVE
