hhId;hhName;iaId
personal;Другой сайт;PERSONAL
moi_krug;Мой круг;MOI_KRUG
livejournal;LiveJournal;LIVEJ
linkedin;LinkedIn;LINKEDIN
freelance;Free-lance;FREELANCE
facebook;Facebook;FACEBOOK
skype;Skype;SKYPE
icq;ICQ;ICQ
cell;Мобильный телефон;CELL
email;Эл. почта;EMAIL
work;Рабочий телефон;WORK
phone;Рабочий телефон;PHONE
home;Домашний телефон;HOME
